,Aeroport,ville,wage median,beach,passenger per year,population,latitude_deg,longitude_deg,score
0,ORD,chicago,58419.666666666664,1,75120.345,2719141,41.9786,-87.9048,1503175
1,DFW,dallas,53078.666666666664,0,66233.791,1242115,32.896801,-97.038002,1203175
2,DEN,denver,55482.666666666664,0,59852.549999999996,635163,39.861698150635,-104.672996521,1103275
3,ATL,atlanta,61467.666666666664,0,105911.923,449016,33.6367,-84.428101,2002475
4,SFO,san francisco,82083.0,1,49668.40966666667,828876,37.61899948120117,-122.375,1112475
5,LAX,los angeles,59541.333333333336,1,73928.40566666667,3851202,33.942501,-118.407997,1335475
6,MCO,orlando,51069.333333333336,1,39794.08733333334,249935,28.429399490356445,-81.30899810791016,1044075
7,LAS,las vegas,55440.666666666664,0,46505.604999999996,593275,36.08010101,-115.1520004,1068475
8,CLT,charlotte,60171.333333333336,0,47719.872,773264,35.2140007019043,-80.94309997558594,1028075
9,MSP,minneapolis,69940.0,0,37523.137,392768,44.882,-93.221802,1085275
10,EWR,newark,70432.66666666667,1,40186.30133333334,277594,40.692501068115234,-74.168701171875,1064475
11,PHX,phoenix,57474.666666666664,0,45664.73333333333,1499274,33.43429946899414,-112.01200103759766,1060875
12,DTW,detroit,44130.0,0,36522.355,700183,42.212398529052734,-83.35340118408203,1079375
13,MIA,miami,52492.333333333336,1,44521.629666666675,411149,25.79319953918457,-80.29060363769531,1073075
14,BOS,boston,57755.0,1,33827.653333333335,642955,42.36429977,-71.00520325,1035875
15,PHL,philadelphie,39645.333333333336,0,34276.636,1551824,39.87189865112305,-75.24109649658203,1031075
16,JFK,new york,76578.33333333333,1,57445.577666666664,8346693,40.639801,-73.7789,1052075
17,LGA,new york,76578.33333333333,1,30187.395,8346693,40.777199,-73.872597,1030575
18,SEA,seattle,78112.66666666667,1,39551.456,635928,47.449001,-122.308998,1038675
19,IAH,houston,57644.0,1,44427.351333333325,2161593,29.984399795532227,-95.34140014648438,1055675
